Vibration,Temperature,Force
26.15,16.87,2.15
26.05,17.06,2.17
26.05,17.06,2.16
26.11,17.06,2.15
26.03,17.06,2.14
26.09,17.02,2.12
26.09,17.06,2.1
26.15,16.99,2.11
26.09,17.1,2.09
26.11,16.28,2.09
26.09,16.51,2.1
25.99,17.02,2.07
25.97,17.1,2.07
26.09,17.02,2.07
26.09,16.95,2.09
26.09,16.99,2.11
26.15,17.02,2.1
26.21,17.1,2.1
26.27,17.06,2.1
26.35,16.95,2.1
26.21,17.02,2.05
27.15,16.24,0.26
27.63,20.04,0.26
27.69,20.04,0.27
27.73,10.32,0.26
27.73,0.08,0.27
27.69,18.67,0.28
27.67,16.04,0.3
27.85,20.04,0.3
27.79,20.04,0.3
27.81,14.36,0.34
27.91,20.04,0.33
27.85,15.53,0.33
27.85,17.34,0.34
27.93,12.94,0.34
27.91,13.18,0.34
27.95,20.04,0.36
28.01,20.04,0.37
28.07,20.04,0.39
28.07,20.04,0.4
28.11,13.14,0.41
28.13,20.04,0.44
28.19,19.57,0.44
28.17,16.55,0.45
28.13,19.3,0.47
28.17,14.91,0.48
28.13,16.63,0.48
28.19,19.22,0.49
28.17,19.97,0.49
28.19,19.02,0.49
25.93,11.57,0.64
25.79,20.04,0.65
25.81,7.3,0.66
25.79,14.4,0.69
25.85,9.3,0.71
25.81,12.08,0.76
25.81,20.04,0.78
25.73,20.04,0.79
25.79,20.04,0.9
25.79,13.85,0.97
25.87,19.14,0.98
25.79,18.67,0.99
25.85,18.48,1.01
25.75,19.46,1.02
25.79,14.95,1.01
25.75,18.36,1.17
25.69,16.67,1.18
25.81,15.85,1.2
25.67,15.89,1.22
25.79,15.81,1.23
25.79,18.55,1.29
25.87,17.97,1.29
25.85,15.73,1.3
25.91,16.91,1.32
25.85,17.18,1.34
25.91,16.87,1.36
25.91,16.32,1.41
25.85,16.36,1.43
25.87,16.55,1.44
25.87,17.57,1.44
25.91,18.63,1.46
25.87,16.91,1.47
25.93,17.42,1.52
25.87,18.04,1.54
25.91,17.1,1.56
25.93,16.83,1.62
25.93,16.71,1.64
25.91,16.75,1.67
25.93,17.22,1.73
25.97,16.91,1.76
25.99,17.46,1.79
26.03,16.59,1.84
26.05,16.44,1.86
26.05,16.95,1.89
26.05,17.14,1.94
26.05,17.69,1.96
26.05,16.16,2.0
26.11,16.83,2.03
26.09,16.91,2.06
26.09,17.18,2.11
45.45,17.42,-0.48
45.51,17.34,-0.48
25.93,18.2,0.01
25.91,16.71,0.01
26.21,17.1,0.01
26.17,17.14,0.01
26.05,17.06,0.01
26.05,17.14,0.01
25.97,18.16,0.01
25.93,18.2,0.01
25.91,16.71,0.01
26.21,17.1,0.01
26.17,17.14,0.01
26.05,17.06,0.01
26.05,17.14,0.01
25.97,18.16,0.01
25.93,18.2,0.01
25.91,16.71,0.01
25.93,15.73,0.03
25.81,15.73,0.03
25.93,17.53,0.04
25.87,13.45,0.09
25.87,19.46,0.1
25.87,20.04,0.11
25.87,20.04,0.13
25.85,17.26,0.15
25.73,11.18,0.16
25.85,7.14,0.21
25.79,20.01,0.23
25.79,11.26,0.26
25.63,8.83,0.3
25.79,15.65,0.31
25.75,17.93,0.32
25.75,17.38,0.33
25.69,13.49,0.34
25.73,11.57,0.36
25.73,12.12,0.36
25.81,15.69,0.37
25.75,19.22,0.42
25.75,15.93,0.45
25.81,17.61,0.46
25.85,19.22,0.51
25.81,20.04,0.54
25.79,20.04,0.55
25.85,15.77,0.58
25.87,20.04,0.58
25.91,16.08,0.59
25.85,11.92,0.6
25.85,9.49,0.61
25.81,9.26,0.63
