Vibration,Temperature,Force
23.71,5.61,0.33
23.65,9.85,0.23
23.69,18.2,0.17
23.41,16.16,0.16
23.35,15.69,0.16
23.41,15.97,0.16
23.45,16.79,0.16
23.57,18.59,0.16
23.29,17.77,0.15
23.27,17.57,0.15
23.21,17.69,0.15
23.23,17.65,0.15
23.17,14.63,0.15
23.29,19.18,0.15
23.29,20.04,0.15
23.27,20.04,0.15
23.27,18.71,0.15
23.27,20.04,0.15
23.29,16.67,0.15
23.27,15.38,0.15
23.27,15.53,0.15
23.33,20.04,0.15
23.33,15.06,0.15
23.23,17.1,0.15
23.21,15.1,0.15
23.33,20.04,0.14
23.29,14.2,0.15
23.33,16.16,0.15
23.33,19.3,0.22
23.11,20.04,0.45
23.47,6.12,1.03
23.57,15.89,3.4
23.57,17.73,3.64
23.47,17.69,3.68
23.59,17.65,3.67
23.57,17.69,3.66
23.45,17.65,3.66
23.51,17.61,3.65
23.57,17.65,3.65
23.51,17.65,3.64
23.47,17.65,3.64
23.47,17.65,3.64
23.51,17.65,3.63
23.41,17.69,3.63
23.47,17.65,3.63
0.16,0.01,0.16
23.17,20.04,0.16
23.15,13.73,0.16
23.33,20.04,0.16
23.35,19.57,0.16
23.57,18.16,0.16
23.57,15.81,0.16
23.53,16.32,0.16
23.51,16.24,0.16
23.41,17.65,0.16
23.45,13.45,0.16
23.33,19.53,0.16
23.33,16.87,0.16
23.33,17.69,0.16
23.27,19.97,0.16
23.35,19.57,0.16
23.33,15.34,0.16
23.35,17.69,0.16
23.35,17.18,0.16
23.35,17.93,0.16
23.33,18.99,0.16
23.35,16.36,0.16
23.35,18.71,0.16
23.35,18.08,0.16
23.33,17.42,0.16
23.39,20.04,0.16
23.35,19.34,0.16
23.29,17.3,0.16
23.33,16.99,0.16
23.33,19.57,0.16
23.29,15.65,0.16
23.27,17.89,0.16
23.39,17.89,0.19
23.29,17.26,0.32
23.29,20.04,0.31
23.27,20.04,0.35
23.41,15.02,0.41
23.63,20.04,0.12
23.85,17.93,0.09
23.69,16.55,0.08
23.69,19.22,0.07
23.63,17.3,0.14
23.57,20.04,0.14
23.57,17.06,0.14
23.57,17.06,0.14
23.57,17.3,0.14
23.57,20.04,0.14
23.57,17.18,0.15
23.57,20.04,0.15
23.57,17.93,0.15
23.45,18.63,0.15
23.41,16.48,0.15
23.63,19.18,0.15
23.53,16.95,0.15
23.57,17.57,0.15
23.63,16.83,0.15
23.53,19.57,0.15
23.59,15.73,0.15
23.35,18.87,0.15
23.27,18.16,0.15
23.29,17.5,0.15
23.27,18.08,0.15
23.51,18.83,0.15
23.51,15.1,0.15
23.27,20.04,0.15
23.33,17.46,0.15
23.39,16.0,0.15
23.33,17.69,0.15
23.27,18.44,0.15
23.35,14.55,0.15
23.51,20.04,0.15
23.59,18.79,0.15
23.53,17.57,0.15
23.51,17.42,0.15
23.51,20.04,0.15
23.39,18.67,0.15
23.47,19.06,0.15
23.57,14.91,0.15
23.51,18.91,0.15
23.47,15.26,0.15
23.53,20.04,0.15
23.51,19.06,0.15
23.51,17.5,0.15
23.47,17.38,0.15
23.53,19.42,0.15
23.59,17.61,0.15
23.63,20.04,0.15
23.69,18.2,0.15
23.63,18.32,0.15
