Vibration,Temperature,Force
23.57,20.04,0.16
23.59,20.04,0.03
23.65,20.04,-0.82
23.59,20.04,0.24
23.47,20.04,0.16
23.57,20.04,0.15
23.51,20.04,0.21
23.45,20.04,0.24
23.41,20.04,0.2
23.51,20.04,0.19
23.45,20.04,0.24
24.81,17.02,-0.02
24.83,17.02,-0.02
24.81,17.1,-0.02
24.81,17.02,-0.02
24.83,17.02,-0.02
24.81,17.1,-0.02
24.89,16.99,-0.02
24.89,17.65,-0.02
24.83,16.24,-0.03
24.93,16.12,-0.03
24.87,18.24,-0.03
25.05,15.57,-0.03
25.07,16.79,-0.02
25.07,15.53,-0.02
25.05,17.34,-0.02
24.95,19.02,-0.02
24.87,15.81,-0.02
24.89,17.5,-0.02
24.93,16.12,-0.02
24.93,16.08,-0.02
24.87,17.5,-0.02
24.87,15.53,-0.02
24.87,17.53,-0.02
24.87,18.67,-0.02
24.83,16.55,-0.02
24.87,17.26,-0.02
24.93,16.4,-0.02
24.95,15.93,-0.01
24.95,17.18,-0.02
24.95,16.51,-0.02
24.95,17.26,-0.02
24.95,13.53,-0.02
24.95,17.06,-0.01
24.99,16.71,0.04
24.93,16.04,0.06
24.95,19.61,0.08
24.95,17.93,0.12
24.89,16.0,0.15
24.95,18.75,0.15
24.99,18.79,0.14
24.95,14.51,0.1
24.99,13.57,0.11
24.99,20.04,0.12
24.93,16.32,0.14
24.93,20.04,0.15
24.93,14.55,0.16
24.95,20.04,0.16
24.95,20.04,0.17
24.93,16.63,0.17
24.95,11.73,0.16
24.87,20.04,0.16
24.77,15.97,0.17
24.83,14.59,0.17
24.77,19.69,0.17
24.81,19.3,0.17
24.81,14.04,0.17
24.75,14.16,0.16
24.81,17.22,0.17
24.77,15.22,0.16
24.77,15.61,0.18
24.81,20.04,0.18
24.83,20.04,0.19
24.93,17.77,0.19
24.99,14.67,0.19
25.01,16.75,0.2
25.17,15.93,0.21
25.37,17.73,0.21
25.49,17.26,0.21
25.75,15.89,0.2
26.03,17.06,0.18
26.15,17.26,0.19
26.53,17.06,0.21
26.55,17.42,0.25
26.49,16.91,0.29
26.49,16.95,0.28
26.55,16.99,0.26
26.59,17.02,0.25
26.59,17.02,0.25
26.73,16.99,0.25
26.83,16.91,0.25
26.83,17.02,0.24
26.79,16.99,0.24
27.93,16.95,0.21
27.99,15.77,0.21
27.95,20.04,0.21
28.01,15.1,0.21
28.07,17.3,0.21
28.13,19.1,0.21
27.95,15.06,0.21
28.13,17.02,0.21
28.25,18.67,0.21
28.51,17.5,0.21
28.39,15.73,0.21
28.27,14.0,0.21
28.25,17.38,0.21
28.19,20.04,0.21
28.25,17.89,0.21
28.25,18.87,0.21
28.23,18.4,0.21
28.23,16.75,0.21
28.23,14.79,0.21
28.19,15.93,0.21
28.25,19.65,0.21
28.19,15.06,0.21
28.25,15.3,0.21
28.23,20.04,0.22
28.25,14.98,0.21
28.19,19.26,0.22
28.27,20.04,0.22
28.23,20.04,0.21
28.39,20.04,0.12
28.11,10.04,0.09
28.13,9.45,0.04
27.85,9.57,0.01
