Vibration,Temperature,Force
28.17,20.04,0.48
28.19,20.04,0.48
28.23,11.89,0.47
28.17,11.81,0.46
28.23,13.93,0.46
28.23,20.04,0.45
28.23,16.36,0.45
28.23,19.46,0.45
28.23,13.42,0.45
28.25,12.67,0.45
28.19,11.61,0.45
28.25,3.61,0.45
28.33,15.97,0.45
28.25,16.48,0.43
28.33,16.28,0.43
28.39,20.04,0.44
28.33,17.69,0.43
28.27,15.26,0.43
28.27,16.4,0.41
28.23,20.04,0.42
28.25,7.45,0.43
27.99,20.04,0.41
28.07,3.33,0.39
28.23,13.3,0.39
28.27,15.38,0.39
28.27,16.08,0.39
28.31,20.04,0.37
28.33,10.98,0.36
29.25,20.04,0.35
29.51,17.5,0.34
30.03,18.44,0.35
30.45,4.39,0.34
31.05,20.04,0.32
31.89,5.02,0.26
32.45,-3.18,0.25
32.97,16.08,0.22
33.39,20.04,0.03
35.91,8.75,0.06
33.47,18.28,0.31
37.99,10.2,0.3
38.41,14.24,0.24
38.55,19.14,0.22
38.05,13.73,0.04
2411.0,17.26,-0.03
24.09,20.04,-0.03
24.05,17.5,-0.04
24.05,16.91,-0.02
24.09,17.06,-0.03
24.11,16.91,-0.04
24.11,17.26,-0.03
24.09,20.04,-0.03
24.05,17.5,-0.04
24.05,17.57,-0.03
24.11,17.97,-0.02
24.11,17.57,-0.02
24.15,19.57,-0.05
24.17,18.48,-0.06
24.09,16.48,-1.28
24.21,16.67,-0.07
24.23,18.2,-0.06
24.23,15.46,-0.05
24.23,16.08,-0.03
24.33,18.01,-0.02
24.33,16.67,-0.02
24.27,16.55,-0.02
24.35,16.55,-0.03
24.47,17.69,-0.04
24.47,15.53,-0.03
24.51,17.26,-0.02
24.41,17.77,-0.01
24.41,15.73,-0.02
24.39,18.83,-0.02
24.29,17.06,-0.02
24.23,16.08,-0.02
24.29,16.08,-0.02
24.27,17.02,-0.02
24.17,16.63,-0.02
24.23,15.65,-0.02
24.27,20.04,-0.02
24.17,14.83,-0.02
24.15,18.51,-0.01
24.21,15.89,-0.01
24.17,16.83,-0.01
24.17,15.26,-0.01
24.27,18.32,-0.02
24.23,16.12,-0.02
24.23,17.53,-0.01
24.27,18.24,-0.01
24.27,17.02,-0.02
24.23,17.53,-0.02
24.21,17.93,-0.02
24.21,15.22,-0.01
24.23,18.99,-0.01
24.23,15.06,-0.02
24.27,18.36,0.0
24.21,16.16,-0.0
24.23,19.53,-0.0
24.21,15.49,0.0
24.21,18.48,0.01
24.21,16.67,-0.01
24.17,15.26,-0.01
24.15,17.89,-0.0
24.05,16.79,0.01
23.97,18.67,0.02
24.11,16.2,0.03
24.17,19.93,0.01
24.15,14.12,0.01
24.09,18.16,0.0
24.11,15.1,0.01
24.03,20.04,0.02
23.99,18.32,0.03
23.99,16.51,0.05
24.15,19.06,0.06
24.17,20.04,0.07
24.21,20.04,0.07
24.29,20.04,0.09
24.27,16.04,0.11
24.29,19.53,0.14
24.33,13.65,0.16
24.33,12.0,0.21
24.35,20.04,0.24
24.33,16.59,0.24
24.33,8.47,0.24
24.27,19.97,0.27
24.35,12.91,0.29
24.39,20.04,0.3
24.33,14.08,0.33
24.39,18.59,0.35
24.35,13.14,0.38
24.27,13.14,0.41
24.33,16.87,0.51
24.33,17.73,0.52
24.21,15.85,0.52
24.17,17.77,0.56
24.17,19.14,0.56
24.21,15.14,0.56
24.17,17.18,0.56
24.21,20.04,0.58
24.33,11.34,0.6
24.33,20.04,0.63
24.39,10.75,0.65
24.51,14.36,0.67
24.57,9.92,1.17
24.39,16.36,1.18
24.45,16.59,1.19
24.41,17.53,1.23
24.53,17.5,1.24
24.51,16.59,1.25
24.53,16.44,1.3
24.53,16.63,1.32
24.57,17.89,1.37
24.51,17.42,1.38
24.57,16.59,1.42
24.57,17.02,1.45
24.47,16.99,1.51
24.47,17.5,1.55
24.47,17.77,1.59
24.45,15.89,1.62
24.53,16.67,1.64
24.53,17.89,1.65
24.53,17.46,1.73
24.59,16.79,1.73
24.63,16.75,1.7
24.63,16.79,1.77
24.65,16.91,1.77
24.81,16.83,1.75
24.71,16.79,1.73
24.71,16.83,1.72
24.71,16.91,1.75
24.77,16.75,1.81
24.77,16.99,1.78
24.63,16.83,1.73
24.69,16.79,1.71
24.69,16.75,1.69
25.87,11.38,-0.03
25.81,8.9,-0.02
25.87,20.04,-0.02
25.97,20.04,-0.01
25.85,6.71,-0.0
25.91,3.41,0.0
25.87,20.04,0.01
25.87,20.04,0.01
25.87,20.04,-0.02
25.99,20.04,-0.03
26.03,16.48,-0.01
26.09,20.04,-0.04
26.09,13.45,-0.05
26.09,20.04,-0.03
25.99,16.04,-0.01
25.99,20.04,-0.01
26.15,20.04,-0.02
26.23,15.49,-0.03
26.29,14.2,-0.03
26.35,20.04,-0.02
26.41,20.04,-0.02
26.37,4.28,-0.01
26.43,12.94,-0.01
26.41,12.94,-0.0
26.41,20.04,-0.0
26.43,17.89,0.0
