Vibration,Temperature,Force
23.09,18.75,0.34
23.21,17.77,0.34
23.05,18.36,0.34
23.15,18.95,0.34
23.09,18.44,0.34
23.03,17.65,0.34
23.09,18.24,0.34
23.09,17.69,0.34
23.09,17.57,0.34
23.11,18.79,0.34
23.11,18.63,0.34
23.05,18.32,0.34
23.09,17.38,0.34
23.09,17.93,0.34
23.09,18.55,0.34
23.11,18.87,0.34
23.17,17.73,0.34
23.15,18.75,0.34
23.15,18.71,0.34
23.11,18.4,0.34
23.23,17.85,0.34
23.27,18.4,0.34
23.29,18.87,0.34
23.21,18.08,0.34
23.15,17.77,0.34
23.09,17.73,0.34
23.11,18.4,0.34
23.09,17.69,0.34
23.09,17.65,0.34
23.15,18.24,0.34
23.05,18.91,0.34
23.15,18.75,0.34
23.17,18.63,0.34
23.17,18.16,0.34
23.11,17.69,0.34
23.15,17.81,0.34
23.11,17.85,0.34
23.11,18.75,0.34
23.15,19.06,0.34
23.17,17.46,0.34
23.15,18.4,0.34
23.17,18.87,0.34
23.11,18.87,0.33
23.11,18.2,0.33
23.17,17.69,0.33
23.21,17.57,0.33
23.45,17.73,0.33
23.57,18.24,0.33
23.63,18.87,0.33
23.85,18.91,0.33
23.87,18.67,0.33
23.93,18.99,0.33
23.99,18.51,0.33
24.05,18.16,0.33
24.05,17.85,0.33
23.87,17.53,0.33
23.69,17.61,0.33
23.53,17.69,0.33
23.39,17.77,0.33
23.23,17.93,0.33
23.23,18.79,0.33
23.17,18.75,0.33
23.15,18.59,0.33
23.15,17.53,0.32
23.11,17.89,0.32
23.15,18.79,0.32
23.17,18.67,0.32
23.15,19.22,0.33
23.15,18.83,0.34
23.15,18.67,0.34
23.15,17.77,0.35
23.15,18.51,0.34
23.15,18.4,-0.95
23.39,18.44,0.71
23.21,18.63,0.88
23.15,18.4,0.96
23.21,18.75,0.98
23.23,18.32,1.0
23.17,18.4,1.05
23.23,18.55,1.08
23.23,18.4,1.09
23.21,18.44,1.13
23.15,18.32,1.13
23.17,18.44,1.14
23.17,18.44,1.17
23.17,18.2,1.18
23.17,18.51,1.19
23.23,18.44,1.22
23.21,18.59,1.24
23.11,18.48,1.25
23.21,18.36,1.28
23.21,18.32,1.29
23.17,18.36,1.28
23.17,18.36,1.2
23.17,18.32,1.2
23.23,18.4,1.2
23.17,18.4,1.2
23.33,18.32,1.2
23.29,18.4,1.2
23.27,18.32,1.19
23.27,18.36,1.19
23.17,18.36,1.19
23.17,18.36,1.19
23.15,18.4,1.19
23.17,18.36,1.19
23.23,18.44,1.19
23.15,18.32,1.19
23.17,18.44,1.19
23.17,18.4,1.19
23.17,18.4,1.18
23.27,18.51,1.18
23.15,18.4,1.18
23.27,18.36,1.18
23.11,18.32,1.18
23.11,18.36,1.18
23.17,18.44,1.18
23.27,18.4,1.18
23.27,18.4,1.18
23.27,18.36,1.18
23.21,18.44,1.18
23.27,18.36,1.18
23.23,18.32,1.18
23.23,18.36,1.18
23.27,18.36,1.18
23.29,18.32,1.18
23.29,18.32,1.17
23.29,18.32,1.17
23.29,18.36,1.17
23.27,18.32,1.17
23.23,18.32,1.17
23.29,18.44,1.17
23.27,18.36,1.17
23.17,18.44,1.17
23.27,18.44,1.17
23.17,18.63,1.17
23.17,18.44,1.17
23.29,18.16,1.17
23.09,18.12,0.27
23.15,18.75,0.27
23.05,18.99,0.27
23.15,18.63,0.27
23.15,18.08,0.27
23.09,17.93,0.27
23.11,19.14,0.27
23.17,17.93,0.27
23.21,18.51,0.27
23.17,19.14,0.27
23.15,18.79,0.27
23.17,18.32,0.27
23.11,17.57,0.27
23.05,17.77,0.27
23.17,18.36,0.27
23.11,19.18,0.27
23.11,19.3,0.27
23.21,18.4,0.27
23.21,18.24,0.27
23.17,17.57,0.27
23.21,18.36,0.27
23.17,18.63,0.27
23.23,19.38,0.27
23.17,17.89,0.27
23.17,18.63,0.27
23.11,18.99,0.27
23.23,18.4,0.27
23.17,18.12,0.28
23.21,18.24,0.28
23.17,18.75,0.28
23.17,18.83,0.27
23.17,18.4,0.27
23.21,18.2,0.28
23.15,19.3,0.28
23.17,18.95,0.28
23.17,17.97,0.27
23.21,19.14,0.27
23.17,18.51,0.26
23.15,19.5,0.26
23.11,18.48,0.25
23.21,18.48,0.24
23.21,18.71,0.24
23.29,18.44,0.25
23.21,18.24,0.24
23.17,18.16,0.24
23.23,18.48,0.24
23.21,19.22,0.25
23.17,18.95,0.25
23.17,18.59,0.26
23.21,18.16,0.26
23.17,18.36,0.36
23.33,18.01,0.36
23.33,18.95,0.37
23.29,18.04,0.43
23.27,18.08,0.44
23.23,18.55,0.44
23.23,18.36,0.23
23.23,18.36,0.23
23.27,18.44,0.23
23.27,18.48,0.23
23.21,18.51,0.23
23.27,18.2,0.23
23.23,18.63,0.22
