Vibration,Temperature,Force
23.17,20.04,0.24
23.11,20.04,0.24
23.15,20.04,0.24
23.11,20.04,0.24
23.15,20.04,0.24
22.89,20.04,-0.27
22.95,20.04,-0.27
22.89,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.95,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.87,20.04,-0.27
22.93,20.04,-0.27
22.99,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.95,20.04,-0.27
22.99,20.04,-0.27
22.95,20.04,-0.27
22.99,20.04,-0.27
22.95,20.04,-0.27
22.95,20.04,-0.27
22.89,20.04,-0.27
23.03,20.04,-0.27
23.11,20.04,-0.27
23.15,20.04,-0.27
23.15,20.04,-0.27
23.15,20.04,-0.27
23.15,20.04,-0.26
23.09,20.04,-0.26
23.03,20.04,-0.26
22.89,20.04,-0.25
22.95,20.04,-0.24
22.99,20.04,-0.27
22.99,20.04,-0.27
22.99,20.04,-0.28
22.99,20.04,-0.28
22.99,20.04,-0.29
22.89,20.04,-0.29
22.99,20.04,-0.29
23.05,20.04,-0.29
22.95,20.04,-0.28
22.99,20.04,-0.28
23.03,20.04,-0.28
23.03,20.04,-0.29
22.93,20.04,0.15
22.93,20.04,0.17
22.93,20.04,0.21
22.89,20.04,0.22
22.89,20.04,0.26
22.93,20.04,0.28
22.89,20.04,0.29
22.93,20.04,0.33
22.89,20.04,0.33
22.93,20.04,0.33
22.93,20.04,0.33
22.95,20.04,0.32
22.93,20.04,0.32
22.89,20.04,0.32
22.93,20.04,0.32
22.93,20.04,0.32
22.95,20.04,0.31
22.95,20.04,0.31
22.89,20.04,0.31
22.93,20.04,0.31
22.93,20.04,0.31
22.89,20.04,0.31
22.93,20.04,0.31
22.87,20.04,0.31
22.93,20.04,0.31
22.93,20.04,0.31
22.93,20.04,0.31
22.93,20.04,0.31
22.89,20.04,0.3
22.93,20.04,0.3
22.93,20.04,0.3
22.95,20.04,0.3
22.89,20.04,0.3
22.95,20.04,0.3
23.05,20.04,0.3
23.03,20.04,0.3
23.03,20.04,0.3
22.95,20.04,0.3
23.05,20.04,0.3
23.09,20.04,0.3
23.21,20.04,0.25
23.23,20.04,0.25
23.27,20.04,0.25
23.27,20.04,0.25
23.17,20.04,0.25
23.21,20.04,0.25
23.29,20.04,0.25
23.21,20.04,0.24
23.17,20.04,0.24
23.15,20.04,0.24
22.93,20.04,-0.27
22.89,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.26
22.93,20.04,-0.27
22.93,20.04,-0.27
22.93,20.04,-0.26
22.89,20.04,-0.27
22.87,20.04,-0.26
22.93,20.04,-0.27
22.89,20.04,-0.27
22.95,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.87,20.04,-0.27
22.89,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.87,20.04,-0.27
22.89,20.04,-0.28
22.93,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.99,20.04,-0.27
22.93,20.04,-0.27
22.89,20.04,-0.27
22.89,20.04,-0.27
22.95,20.04,-0.21
22.93,20.04,-0.16
22.93,20.04,-0.15
22.93,20.04,-0.14
22.93,20.04,-0.12
22.95,20.04,-0.11
23.05,20.04,-0.1
22.93,20.04,-0.07
22.93,20.04,-0.06
22.93,20.04,-0.03
22.93,20.04,-0.02
22.89,20.04,-0.01
22.93,20.04,0.02
22.89,20.04,0.04
22.99,20.04,0.07
22.87,20.04,0.09
22.93,20.04,0.1
22.93,20.04,0.14
22.89,20.04,-0.28
22.93,20.04,-0.28
22.87,20.04,-0.28
22.95,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.95,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.89,20.04,-0.28
22.89,20.04,-0.28
22.93,20.04,-0.28
23.05,20.04,-0.28
23.11,20.04,-0.28
23.17,20.04,-0.28
23.29,20.04,-0.28
23.27,20.04,-0.28
23.21,20.04,-0.28
23.27,20.04,-0.28
23.29,20.04,-0.28
23.27,20.04,-0.28
23.21,20.04,-0.28
23.27,20.04,-0.28
23.15,20.04,-0.28
23.05,20.04,-0.28
22.95,20.04,-0.28
22.95,20.04,-0.28
22.89,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.89,20.04,-0.28
22.93,20.04,-0.28
22.89,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.89,20.04,-0.27
22.89,20.04,0.53
22.95,20.04,0.52
22.89,20.04,0.52
22.83,20.04,0.52
22.89,20.04,0.51
22.89,20.04,0.51
22.89,20.04,0.51
22.87,20.04,0.51
22.93,20.04,0.51
22.89,20.04,0.51
22.83,20.04,0.5
22.89,20.04,0.5
22.89,20.04,0.5
22.89,20.04,0.5
22.87,20.04,0.5
22.83,20.04,0.5
22.87,20.04,0.5
22.87,20.04,0.5
22.89,20.04,0.5
22.87,20.04,0.5
22.87,20.04,0.49
22.83,20.04,0.49
22.87,20.04,0.49
22.83,20.04,0.49
22.83,20.04,0.49
22.87,20.04,-0.28
22.87,20.04,-0.28
22.83,20.04,-0.28
22.87,20.04,-0.28
22.89,20.04,-0.28
22.87,20.04,-0.28
22.83,20.04,-0.28
22.89,20.04,-0.28
22.83,20.04,-0.28
22.89,20.04,-0.28
22.89,20.04,-0.28
22.87,20.04,-0.28
22.87,20.04,-0.28
22.89,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.89,20.04,-0.28
22.83,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.93,20.04,-0.28
22.87,20.04,-0.28
22.93,20.04,-0.28
22.87,20.04,-0.28
22.95,20.04,-0.24
22.93,20.04,-0.24
23.05,20.04,-0.24
23.05,20.04,-0.24
23.03,20.04,-0.24
23.11,20.04,-0.24
23.09,20.04,-0.24
23.05,20.04,-0.24
22.99,20.04,-0.24
22.81,20.04,-0.24
22.81,20.04,-0.18
22.95,20.04,-0.17
22.99,20.04,-0.17
23.11,20.04,-0.16
23.17,20.04,-0.16
23.21,20.04,-0.12
23.21,20.04,-0.11
23.21,20.04,-0.1
