Vibration,Temperature,Force
23.63,16.83,0.15
23.57,18.32,0.15
23.57,15.61,0.15
23.53,19.57,0.15
23.57,15.02,0.15
23.59,19.18,0.15
23.59,15.73,0.15
23.59,19.34,0.15
23.47,14.83,0.15
23.35,18.87,0.15
23.29,16.71,0.15
23.29,20.04,0.15
23.27,18.16,0.15
23.29,17.34,0.15
23.27,16.12,0.15
23.29,17.50,0.15
23.27,17.02,0.15
23.23,16.59,0.15
23.27,18.08,0.15
23.35,18.59,0.15
23.41,15.38,0.15
23.51,18.83,0.15
23.51,16.48,0.15
23.59,20.04,0.15
23.51,15.10,0.15
23.35,18.83,0.15
23.27,16.32,0.15
23.27,20.04,0.15
23.27,16.44,0.15
23.29,18.95,0.15
23.33,17.46,0.15
23.35,19.77,0.15
23.35,18.04,0.15
23.39,16.00,0.15
23.33,18.01,0.15
23.29,18.04,0.15
23.33,17.69,0.15
23.23,19.46,0.15
23.27,16.00,0.15
23.27,18.44,0.15
23.29,15.77,0.15
23.33,20.04,0.15
23.35,14.55,0.15
23.41,18.63,0.15
23.41,17.06,0.15
23.51,20.04,0.15
23.53,15.42,0.15
23.53,18.55,0.15
23.59,18.79,0.15
23.59,17.46,0.15
