Vibration,Temperature,Force
24.27,10.40,-0.06
24.29,10.83,-0.06
24.29,20.04,-0.06
24.29,20.04,-0.06
24.27,16.87,-0.06
24.27,20.04,-0.06
24.17,15.73,-0.06
24.21,20.04,-0.06
24.17,12.51,-0.06
24.21,10.04,-0.06
24.15,14.04,-0.06
24.17,18.91,-0.06
24.15,8.08,-0.06
24.15,20.04,-0.06
24.17,20.04,-0.06
24.17,14.98,-0.06
24.21,19.34,-0.06
24.17,18.87,-0.06
24.17,17.97,-0.06
23.91,15.73,-0.06
23.97,17.22,-0.06
23.87,17.89,-0.06
23.91,18.63,-0.06
23.85,16.08,-0.06
23.81,16.67,-0.06
23.85,18.36,-0.06
23.91,17.34,-0.06
23.91,18.67,-0.06
23.97,16.95,-0.06
23.93,17.26,-0.06
23.97,18.12,-0.06
23.99,16.91,-0.06
24.03,18.59,-0.06
24.05,17.73,-0.06
23.91,15.18,-33.94
23.81,17.10,10.78
23.85,17.81,-0.07
23.91,17.85,-0.06
23.91,16.59,-0.06
23.91,18.01,-0.06
23.91,17.50,-0.06
24.05,18.04,-0.07
23.97,18.59,-0.06
23.99,16.08,-0.07
24.11,20.04,-0.07
24.11,14.98,-0.07
23.99,16.28,-0.07
24.09,19.10,-0.07
24.09,16.48,-0.07
24.03,16.79,-0.07
