Vibration,Temperature,Force
23.57,20.04,0.16
23.53,20.04,0.16
23.59,20.04,0.03
23.57,20.04,0.17
23.65,20.04,-0.82
23.59,20.04,0.24
23.59,20.04,0.24
23.57,20.04,0.15
23.47,20.04,0.16
23.51,20.04,0.16
23.57,20.04,0.15
23.51,20.04,0.18
23.51,20.04,0.21
23.47,20.04,0.23
23.45,20.04,0.24
23.45,20.04,0.26
23.41,20.04,0.20
23.45,20.04,0.19
23.51,20.04,0.19
23.47,20.04,0.23
23.45,20.04,0.24
23.35,20.04,0.27
24.81,17.02,-0.02
24.81,17.06,-0.02
24.83,17.02,-0.02
24.83,17.14,-0.02
24.81,17.10,-0.02
24.87,17.10,-0.02
24.81,17.02,-0.02
24.81,17.06,-0.02
24.83,17.02,-0.02
24.83,17.14,-0.02
24.81,17.10,-0.02
24.87,17.10,-0.02
24.89,16.99,-0.02
24.81,18.75,-0.02
24.89,17.65,-0.02
24.83,16.08,-0.03
24.83,16.24,-0.03
24.87,15.49,-0.03
24.93,16.12,-0.03
24.87,18.55,-0.03
24.87,18.24,-0.03
24.89,16.99,-0.03
25.05,15.57,-0.03
25.13,17.46,-0.02
25.07,16.79,-0.02
25.05,15.97,-0.02
25.07,15.53,-0.02
25.07,17.02,-0.02
