Vibration,Temperature,Force
24.57,17.89,1.37
24.51,17.42,1.38
24.57,16.59,1.42
24.57,17.02,1.45
24.47,16.99,1.51
24.47,17.50,1.55
24.47,17.77,1.59
24.45,15.89,1.62
24.53,16.67,1.64
24.53,17.89,1.65
24.53,17.46,1.73
24.59,16.79,1.73
24.63,16.75,1.70
24.63,16.79,1.77
24.65,16.91,1.77
24.81,16.83,1.75
24.71,16.79,1.73
24.71,16.83,1.72
24.71,16.91,1.75
24.77,16.75,1.81
24.77,16.99,1.78
24.63,16.83,1.73
24.69,16.79,1.71
24.69,16.75,1.69
25.87,11.38,-0.03
25.81,8.90,-0.02
25.87,20.04,-0.02
25.97,20.04,-0.01
25.85,6.71,-0.00
25.91,3.41,0.00
25.87,20.04,0.01
25.87,20.04,0.01
25.87,20.04,-0.02
25.99,20.04,-0.03
26.03,16.48,-0.01
26.09,20.04,-0.04
26.09,13.45,-0.05
26.09,20.04,-0.03
25.99,16.04,-0.01
25.99,20.04,-0.01
26.15,20.04,-0.02
26.23,15.49,-0.03
26.29,14.20,-0.03
26.35,20.04,-0.02
26.41,20.04,-0.02
26.37,4.28,-0.01
26.43,12.94,-0.01
26.41,12.94,-0.00
26.41,20.04,-0.00
26.43,17.89,0.00
