Vibration,Temperature,Force
23.11,16.75,1.00
23.17,16.91,1.00
23.17,17.14,1.00
23.11,16.71,1.00
23.15,16.95,1.00
23.21,16.99,1.00
23.11,17.34,1.00
23.11,17.22,1.00
23.15,16.95,1.00
23.15,16.99,1.00
23.17,16.87,1.00
23.17,16.95,1.00
23.33,16.91,1.00
23.35,16.87,1.00
23.35,17.02,1.00
23.33,16.95,1.00
23.15,16.83,1.00
23.23,16.95,1.00
23.23,17.22,1.00
23.21,16.99,1.00
23.27,16.83,1.00
23.29,16.71,1.00
23.27,17.14,1.00
23.27,16.91,1.00
23.27,17.14,1.00
23.21,16.79,1.00
23.27,16.91,1.00
23.23,17.14,1.00
23.23,17.14,1.00
23.29,17.14,1.00
23.17,16.63,1.00
23.17,17.34,1.00
23.23,17.38,1.00
23.27,16.83,1.00
23.29,16.95,1.00
23.15,17.10,1.00
23.21,16.63,1.00
23.27,20.04,0.04
23.23,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.23,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
