Temperature,Vibration,Force
23.03,17.65,-0.0
23.09,17.69,-0.0
23.03,17.61,-0.0
23.09,17.61,0.0
23.03,17.57,0.0
23.05,17.61,-0.0
23.05,17.57,-0.0
23.05,17.57,0.0
23.05,17.57,0.0
23.03,17.61,-0.0
23.05,17.53,-0.0
23.03,17.65,-0.0
23.05,17.57,0.0
23.03,17.57,0.0
23.11,17.61,0.0
23.53,19.65,-0.0
NAN,18.79,-0.0
22.87,19.22,-0.0
22.95,18.87,-0.0
22.95,17.26,-0.0
22.93,17.06,-0.0
22.95,16.55,-0.0
22.89,16.87,-0.0
22.93,18.44,-0.0
22.95,16.79,-0.0
22.99,16.0,-0.0
23.03,17.85,-0.0
22.99,18.4,-0.0
23.03,19.18,-0.0
22.93,17.89,-0.0
22.95,16.44,-0.0
22.99,18.48,-0.0
22.95,18.79,-0.0
22.93,18.4,-0.0
22.99,17.81,-0.0
22.93,17.5,-0.0
22.95,15.77,-0.0
22.95,18.4,-0.0
22.95,16.04,-0.0
23.03,18.12,-0.0
23.05,18.83,-0.0
23.05,18.16,-0.0
23.09,18.48,-0.0
23.39,16.91,-0.0
24.57,16.32,-0.0
24.35,18.04,-0.0
23.51,17.02,-0.0
23.47,19.34,-0.0
23.53,16.28,-0.0
23.47,17.77,-0.0
23.45,16.91,-0.0
23.41,17.42,-0.0
23.41,16.99,-0.0
23.39,17.26,-0.0
23.47,17.85,-0.0
23.53,19.38,-0.0
23.65,16.63,-0.0
24.05,17.73,-0.0
24.47,16.83,-0.01
24.27,18.36,-0.0
24.33,18.71,0.01
26.05,19.14,0.02
27.75,17.89,0.02
29.23,17.02,0.02
30.05,16.67,0.01
30.23,18.24,0.01
25.81,17.65,0.01
25.49,17.89,-0.01
24.93,17.61,-0.01
24.83,18.99,-0.03
24.57,16.48,-0.05
24.29,18.91,-0.05
24.23,16.71,-0.02
24.11,19.53,-0.0
24.03,19.57,-0.0
23.91,17.3,-0.0
23.87,16.79,0.0
23.93,19.18,0.01
23.71,17.5,0.01
23.75,19.53,0.0
23.57,17.65,0.0
23.71,18.2,-0.0
23.57,16.28,-0.0
23.51,20.04,0.0
23.59,18.63,0.01
23.63,19.93,0.04
23.51,8.79,0.07
23.51,19.61,0.08
23.47,11.57,0.1
23.45,20.04,0.12
23.39,18.4,0.13
23.35,15.69,0.16
23.29,5.26,0.2
23.35,20.04,0.22
23.45,20.04,0.27
23.39,14.98,0.29
23.39,20.04,0.32
23.39,20.04,0.36
23.45,-13.14,0.37
23.45,20.04,0.42
23.39,20.04,0.43
23.39,20.04,0.66
23.39,18.32,0.68
23.35,14.0,0.71
23.33,20.04,0.87
23.39,17.85,0.89
23.35,16.24,0.92
23.33,15.89,0.96
23.35,16.04,1.18
23.29,16.67,1.21
23.35,6.98,1.24
23.33,20.04,1.31
23.33,20.04,1.34
23.33,19.3,1.36
23.39,16.79,1.54
23.35,13.73,1.56
23.29,20.04,1.58
23.39,19.06,1.73
23.35,14.91,1.76
