Vibration,Temperature,Force
23.71,5.61,0.33
23.65,11.92,0.33
23.69,5.45,-0.95
23.65,9.85,0.23
23.75,15.26,0.18
23.63,16.95,0.17
23.69,18.2,0.17
23.71,16.87,0.17
23.69,17.38,0.16
23.41,16.16,0.16
23.41,18.91,0.16
23.41,18.75,0.16
23.35,15.69,0.16
23.39,17.22,0.16
23.35,18.28,0.16
23.41,15.97,0.16
23.45,16.59,0.16
23.41,16.75,0.16
23.45,16.79,0.16
23.41,17.65,0.16
23.57,15.77,0.16
23.57,18.59,0.16
23.47,18.36,0.16
1.0,17.69,0.15
23.29,17.77,0.15
23.21,17.69,0.15
23.23,17.65,0.15
23.27,17.57,0.15
23.23,17.69,0.15
23.27,17.65,0.15
23.21,17.69,0.15
23.29,17.77,0.15
23.21,17.69,0.15
23.23,17.65,0.15
23.27,17.57,0.15
23.23,17.69,0.15
23.17,14.63,0.15
23.23,19.85,0.15
23.27,18.48,0.15
23.29,19.18,0.15
23.29,16.2,0.14
23.33,11.57,0.15
23.29,20.04,0.15
23.23,15.38,0.15
23.27,19.22,0.15
23.27,20.04,0.15
23.17,20.04,0.15
23.29,16.55,0.15
23.27,18.71,0.15
23.17,20.04,0.15
23.27,15.14,0.15
23.27,20.04,0.15
23.27,20.04,0.15
23.23,19.73,0.15
23.29,16.67,0.15
23.23,18.75,0.15
23.29,19.97,0.14
23.27,15.38,0.15
23.27,19.42,0.15
23.27,17.85,0.15
23.27,15.53,0.15
23.23,19.73,0.15
23.29,13.69,0.15
23.33,20.04,0.15
23.29,14.71,0.15
23.29,20.04,-0.95
23.33,15.06,0.15
23.23,19.42,0.15
23.21,18.12,0.15
23.23,17.1,0.15
23.27,17.3,0.15
23.29,15.77,0.14
23.21,15.1,0.15
23.29,20.04,0.14
23.29,12.43,0.15
23.33,20.04,0.14
23.33,13.49,0.15
23.29,20.04,0.15
23.29,14.2,0.15
23.29,20.04,0.15
23.35,12.71,0.15
23.33,16.16,0.15
23.17,11.96,0.16
23.29,19.61,0.19
23.33,19.3,0.22
23.27,16.91,0.4
23.15,4.31,0.42
23.11,20.04,0.45
23.21,9.61,0.5
23.21,20.04,1.0
23.47,6.12,1.03
23.41,12.0,3.28
23.63,16.91,3.34
23.57,15.89,3.4
23.47,17.34,3.55
23.63,18.48,3.6
23.57,17.73,3.64
23.57,17.69,3.69
23.53,17.65,3.69
23.47,17.69,3.68
23.57,17.65,3.67
23.59,17.61,3.67
23.59,17.65,3.67
23.57,17.65,3.67
23.51,17.69,3.66
23.57,17.69,3.66
23.57,17.73,3.66
23.59,17.69,3.66
23.45,17.65,3.66
23.45,17.69,3.65
23.51,17.69,3.65
23.51,17.61,3.65
23.47,17.65,3.65
23.51,17.73,3.65
23.57,17.65,3.65
23.53,17.65,3.64
23.57,17.77,3.64
23.51,17.65,3.64
23.51,17.73,3.64
23.51,17.85,3.64
23.47,17.65,3.64
23.47,17.73,3.64
23.53,17.65,3.64
23.47,17.65,3.64
23.47,17.69,3.63
23.41,17.69,3.63
23.51,17.65,3.63
23.47,17.61,3.63
23.47,17.61,3.63
23.41,17.69,3.63
23.51,17.69,3.63
23.53,17.73,3.63
23.47,17.65,3.63
23.45,17.69,3.63
23.57,17.73,3.63
0.16,0.01,0.16
23.15,17.93,0.16
23.17,18.87,0.16
23.17,20.04,0.16
23.21,17.14,0.16
23.17,17.53,0.16
23.15,13.73,0.16
23.21,18.01,0.16
23.29,17.02,0.16
23.33,20.04,0.16
23.33,15.93,0.16
23.35,19.77,0.16
23.35,19.57,0.16
23.39,18.87,0.16
23.51,19.22,0.16
23.57,18.16,0.16
23.51,19.65,0.16
23.51,15.73,0.16
23.57,15.81,0.16
23.53,18.24,0.16
23.53,18.01,0.16
23.53,16.32,0.16
23.53,15.61,0.16
23.51,19.34,0.16
23.51,16.24,0.16
23.47,15.93,0.16
23.53,15.81,0.16
23.41,17.65,0.16
23.41,15.57,0.16
23.51,20.04,0.16
23.45,13.45,0.16
23.35,19.65,0.16
23.41,16.36,0.16
23.33,19.53,0.16
23.35,14.59,0.16
23.35,20.04,0.16
23.33,16.87,0.16
23.33,17.93,0.16
23.35,18.67,0.16
23.33,17.69,0.16
23.33,16.95,0.16
23.39,17.38,0.16
23.27,19.97,0.16
23.35,14.95,0.16
23.29,20.04,0.16
23.35,19.57,0.16
23.27,16.67,0.16
23.33,20.04,0.16
23.33,15.34,0.16
23.27,19.18,0.16
23.35,17.34,0.16
23.35,17.69,0.16
23.33,17.34,0.16
23.29,16.75,0.16
23.35,17.18,0.16
23.35,19.02,0.16
23.27,19.38,0.16
23.35,17.93,0.16
23.35,16.04,0.16
23.33,15.3,0.16
23.33,18.99,0.16
23.33,16.16,0.16
23.35,20.04,0.16
23.35,16.36,0.16
23.29,17.89,0.16
23.35,16.32,0.16
23.35,18.71,0.16
23.29,18.2,0.16
23.33,17.89,0.16
23.35,18.08,0.16
23.33,15.46,0.16
23.35,19.26,0.16
23.33,17.42,0.16
23.33,20.04,0.16
23.29,16.36,0.16
23.39,20.04,0.16
23.33,17.38,0.16
23.33,15.61,0.16
23.35,19.34,0.16
23.27,14.98,0.16
23.33,19.06,0.16
23.29,17.3,0.16
23.33,18.55,0.16
23.35,16.87,0.16
23.33,16.99,0.16
23.33,18.04,0.16
23.35,15.57,0.16
23.33,19.57,0.16
23.33,15.57,0.16
23.33,20.04,0.16
23.29,15.65,0.16
