Temperature,Vibration,Force
23.69,-6.28,-0.08
23.69,18.87,-0.01
23.69,-0.39,-0.02
23.79,11.14,-0.01
23.99,11.3,-0.01
23.97,20.04,-0.01
23.35,17.85,-0.07
23.35,17.85,-0.07
23.33,17.81,-0.07
23.33,17.46,-0.07
23.29,13.77,-0.07
23.29,18.01,-0.07
23.35,17.85,-0.07
23.35,17.85,-0.07
23.33,17.81,-0.07
23.33,17.46,-0.07
23.29,13.77,-0.07
23.29,18.01,-0.07
23.79,18.71,-0.07
23.79,18.28,-0.07
23.75,18.91,-0.07
23.79,18.08,-0.07
23.79,17.22,-0.07
23.79,16.44,-0.07
23.75,18.75,-0.07
23.75,17.77,-0.07
23.71,17.42,-0.07
23.75,17.53,-0.07
23.65,17.61,-0.07
23.63,16.0,-0.07
23.75,17.06,-0.07
23.85,19.1,-0.07
24.09,18.2,-0.07
24.05,18.32,-0.07
24.05,17.61,-0.07
24.11,17.69,-0.07
24.09,16.95,-0.07
24.03,16.91,-0.07
24.05,19.02,-0.07
23.93,19.77,-0.07
23.97,17.81,-0.07
23.87,19.3,-0.07
23.87,18.36,-0.07
23.87,17.06,-0.07
23.85,16.28,-0.07
23.87,18.24,-0.07
23.87,19.65,-0.07
23.97,18.79,-0.07
23.97,18.95,-0.07
23.93,16.0,-0.07
23.99,16.44,-0.07
23.99,17.42,-0.07
23.91,18.79,-0.08
23.91,18.24,-0.07
23.87,18.36,-0.06
23.87,18.95,-0.07
23.91,18.01,-0.08
23.91,18.75,-0.08
23.87,17.53,-0.09
23.87,16.55,-0.09
23.91,17.61,-0.06
23.91,18.87,-0.06
23.99,18.32,-0.07
23.93,17.46,-0.07
23.87,17.02,-0.07
23.93,17.34,-0.08
23.97,19.22,-0.07
23.91,18.79,-0.07
23.91,18.91,-0.07
23.87,16.79,-0.09
23.87,16.75,-0.09
23.91,16.95,-0.09
23.91,17.85,-0.06
23.87,16.79,-0.04
23.97,14.12,0.04
23.91,14.12,0.05
23.93,18.99,0.06
23.97,13.02,0.11
24.05,19.81,0.12
23.91,17.46,0.14
23.97,17.61,0.18
24.03,20.04,0.29
23.97,11.65,0.3
24.03,15.53,0.32
23.99,20.04,0.35
23.97,-1.18,0.38
23.91,20.04,0.4
24.09,20.04,0.43
24.09,16.71,0.45
24.05,-0.98,-0.95
23.45,20.04,-0.95
23.39,20.04,2.96
23.33,18.87,3.01
23.45,18.51,3.05
23.51,17.38,3.16
23.47,16.83,3.21
23.39,18.87,3.26
23.41,18.83,3.4
23.53,17.85,3.47
23.45,18.01,3.5
24.05,19.81,-0.07
24.09,20.04,-0.07
23.87,17.77,-0.07
23.93,17.77,-0.07
23.97,17.73,-0.07
23.99,17.77,-0.07
24.05,19.81,-0.07
24.09,20.04,-0.07
24.09,20.04,-0.95
23.87,15.73,-0.95
23.75,17.22,-0.05
23.93,19.3,-0.07
23.91,20.04,0.83
23.91,20.04,0.85
23.69,18.51,0.87
23.69,14.87,-0.95
23.57,13.96,-0.03
23.53,16.44,-0.1
23.65,2.47,-0.1
23.57,10.0,-0.08
23.79,20.04,-0.08
23.75,17.1,-0.08
23.81,19.1,-0.08
24.15,15.93,-0.09
24.11,15.85,-0.06
24.17,17.14,-0.06
24.17,17.22,-0.06
24.17,19.02,-0.06
24.15,18.79,-0.06
24.15,16.08,-0.06
24.11,16.79,-0.06
24.15,13.22,-0.06
24.17,15.81,-0.06
24.09,17.53,-0.06
24.05,20.04,-0.06
24.11,19.26,-0.06
24.09,20.04,-0.06
24.11,15.89,-0.06
24.11,15.97,-0.06
24.11,20.04,-0.06
24.17,13.49,-0.06
24.29,17.06,-0.06
24.29,15.49,-0.06
24.23,20.04,-0.06
24.35,15.53,-0.06
24.39,17.53,-0.06
24.39,12.94,-0.06
24.35,17.06,-0.06
24.35,19.5,-0.06
24.27,20.04,-0.06
24.27,10.4,-0.06
24.29,10.83,-0.06
24.29,20.04,-0.06
24.29,20.04,-0.06
24.27,16.87,-0.06
24.27,20.04,-0.06
24.17,15.73,-0.06
24.21,20.04,-0.06
24.17,12.51,-0.06
24.21,10.04,-0.06
24.15,14.04,-0.06
24.17,18.91,-0.06
24.15,8.08,-0.06
24.15,20.04,-0.06
24.17,20.04,-0.06
24.17,14.98,-0.06
24.21,19.34,-0.06
24.17,18.87,-0.06
24.17,17.97,-0.06
23.91,15.73,-0.06
23.97,17.22,-0.06
23.87,17.89,-0.06
23.91,18.63,-0.06
23.85,16.08,-0.06
23.81,16.67,-0.06
23.85,18.36,-0.06
23.91,17.34,-0.06
23.91,18.67,-0.06
23.97,16.95,-0.06
23.93,17.26,-0.06
23.97,18.12,-0.06
23.99,16.91,-0.06
24.03,18.59,-0.06
24.05,17.73,-0.06
23.91,15.18,-33.94
23.81,17.1,10.78
23.85,17.81,-0.07
23.91,17.85,-0.06
23.91,16.59,-0.06
23.91,18.01,-0.06
23.91,17.5,-0.06
24.05,18.04,-0.07
23.97,18.59,-0.06
23.99,16.08,-0.07
24.11,20.04,-0.07
24.11,14.98,-0.07
23.99,16.28,-0.07
24.09,19.1,-0.07
24.09,16.48,-0.07
24.03,16.79,-0.07
