Vibration,Temperature,Force
26.43,11.53,0.01
26.49,2.51,0.02
26.47,16.08,0.03
26.65,18.91,0.02
26.61,12.91,0.03
26.65,20.04,0.02
26.71,20.04,-0.01
26.71,17.3,-0.01
26.83,15.1,-0.01
26.91,19.85,-0.01
26.97,16.08,0.01
26.87,14.28,0.36
27.35,19.97,0.35
27.41,19.85,0.35
27.37,20.04,0.36
27.47,20.04,0.36
27.63,16.79,0.35
27.67,20.04,0.41
27.95,20.04,0.37
28.25,20.04,0.37
28.23,10.28,0.34
29.11,18.04,0.32
30.23,20.04,0.32
30.63,14.36,0.31
31.41,19.46,0.28
31.81,7.53,0.24
32.09,20.04,0.22
33.21,20.04,0.09
34.51,14.51,0.09
35.43,16.0,0.09
36.07,18.44,0.09
36.73,20.04,0.08
36.85,11.41,0.07
37.49,19.02,0.06
37.87,16.2,0.01
37.05,12.24,0.01
36.97,19.69,0.01
36.71,14.24,0.02
37.19,20.04,0.05
37.27,12.87,0.04
37.45,19.53,0.03
38.43,20.04,-0.02
39.05,16.12,-0.01
38.77,14.55,-0.02
26.85,19.38,-0.14
26.85,18.55,-0.14
26.85,15.46,-0.14
26.83,14.87,-0.14
26.79,16.71,-0.14
26.97,19.93,-0.14
26.85,19.38,-0.14
26.85,18.55,-0.14
26.85,15.46,-0.14
26.83,14.87,-0.14
26.79,16.71,-0.14
26.79,17.53,-0.14
26.85,17.38,-0.14
26.85,18.04,-0.14
26.93,16.95,-0.14
26.85,16.36,-0.14
26.93,19.26,-0.14
27.15,17.65,-0.14
27.15,16.87,-0.14
27.11,18.48,-0.14
27.09,20.04,-0.13
27.05,16.63,-0.12
27.05,20.04,-0.1
27.03,17.14,-0.09
26.99,9.89,-1.28
26.97,18.32,-0.02
26.99,20.04,-0.0
26.91,20.04,0.01
26.87,20.04,0.04
26.87,7.77,0.06
26.79,20.04,0.07
26.77,20.04,0.1
26.83,20.04,0.11
26.71,19.85,0.48
26.87,12.36,0.89
26.73,17.61,0.89
26.73,17.93,0.91
26.77,16.2,1.01
26.85,18.12,1.03
26.83,15.73,1.04
26.85,20.04,1.06
26.85,16.51,1.07
26.85,19.06,1.08
26.87,18.91,1.11
26.87,16.0,1.13
26.91,18.2,1.16
26.97,17.46,1.19
26.93,17.14,1.21
26.93,17.77,1.22
26.97,17.93,1.25
26.91,17.77,1.26
26.93,17.53,1.28
27.03,18.04,1.32
26.99,17.1,1.34
26.97,17.81,1.35
26.97,17.34,1.41
27.05,17.18,1.44
27.03,17.26,1.48
27.05,17.73,1.54
27.11,18.16,1.56
27.09,17.77,1.58
27.03,17.53,1.63
27.09,17.57,1.66
27.21,17.22,1.69
27.17,16.99,1.74
27.21,17.57,1.76
27.23,17.22,1.78
27.25,16.91,1.83
27.23,16.71,1.86
27.21,16.79,1.87
27.25,17.77,1.91
27.25,18.63,1.94
27.25,16.99,1.95
27.29,17.22,1.96
27.29,17.53,1.99
27.31,17.69,2.02
27.31,17.3,2.06
27.21,17.26,2.07
27.03,17.42,2.05
27.05,17.42,2.01
26.61,17.38,2.0
26.49,17.34,2.0
26.85,17.22,2.0
26.91,17.5,2.0
26.97,17.18,2.01
26.93,16.95,2.05
27.03,17.46,2.05
27.11,17.02,2.06
27.05,17.3,2.06
26.85,17.46,1.9
28.07,15.93,-0.33
28.25,15.06,-0.44
28.37,4.67,-0.44
28.45,12.04,-0.44
28.57,20.04,-0.43
28.51,16.48,-0.43
28.59,12.51,-0.42
28.69,13.85,-0.42
28.75,20.04,-0.42
28.77,20.04,-0.42
28.75,20.04,-0.41
28.75,11.73,-0.41
28.75,17.38,-0.42
28.89,17.81,-0.4
28.95,16.99,-0.39
28.91,20.04,-0.39
