Temperature,Vibration,Force
22.51,20.04,0.0
22.51,20.04,0.0
22.53,20.04,0.0
22.53,20.04,0.0
22.47,20.04,0.0
22.53,20.04,0.0
22.47,20.04,0.0
22.43,20.04,0.0
22.47,20.04,0.0
22.47,20.04,0.0
22.51,20.04,0.0
22.51,20.04,0.0
22.51,20.04,0.0
22.43,20.04,0.0
22.51,20.04,0.0
22.53,20.04,0.0
22.63,20.04,0.0
22.57,20.04,0.0
22.63,20.04,0.0
22.63,20.04,0.0
22.57,20.04,0.0
22.53,20.04,0.0
22.59,20.04,0.0
22.53,20.04,0.0
22.51,20.04,0.0
22.57,20.04,0.0
22.51,20.04,0.0
22.53,20.04,0.0
22.51,20.04,0.0
22.53,20.04,0.0
22.59,20.04,0.0
22.53,20.04,0.0
22.63,20.04,0.0
22.63,20.04,0.0
22.57,20.04,0.0
22.63,20.04,0.0
22.69,20.04,0.0
22.59,20.04,0.0
22.69,20.04,0.0
22.71,20.04,0.0
22.71,20.04,0.0
22.71,20.04,0.0
22.65,20.04,0.0
22.71,20.04,0.0
22.63,20.04,0.0
22.69,20.04,0.0
22.71,20.04,0.0
22.75,20.04,0.0
22.93,20.04,0.0
23.11,20.04,0.0
23.17,20.04,0.0
23.29,20.04,0.0
23.33,20.04,0.0
23.29,20.04,0.0
23.35,20.04,0.0
23.39,20.04,0.0
23.33,20.04,0.0
23.35,20.04,0.0
23.29,20.04,0.0
23.35,20.04,0.0
23.35,20.04,0.0
23.35,20.04,0.0
23.45,20.04,0.01
23.39,20.04,0.01
23.39,20.04,0.02
23.39,20.04,0.03
23.17,20.04,0.05
23.17,20.04,0.06
23.11,20.04,0.07
23.11,20.04,0.09
23.05,20.04,0.1
23.11,20.04,0.11
23.09,20.04,0.12
23.17,19.65,0.13
23.17,20.04,0.14
23.11,20.04,0.51
23.35,20.04,0.53
23.47,20.04,0.54
23.41,20.04,0.58
23.45,20.04,0.59
23.41,20.04,0.61
23.41,20.04,0.64
23.45,20.04,0.66
23.41,20.04,0.69
23.51,20.04,0.71
23.45,20.04,0.72
23.57,20.04,0.75
23.53,20.04,0.77
23.57,20.04,0.78
23.59,20.04,0.81
23.57,20.04,0.83
23.47,20.04,0.85
23.51,20.04,0.87
23.57,20.04,0.89
23.41,20.04,0.92
23.45,20.04,0.94
23.39,20.04,0.93
23.39,20.04,0.93
23.35,20.04,0.92
23.33,20.04,0.92
23.33,20.04,0.91
23.27,20.04,0.91
23.27,20.04,0.91
23.23,20.04,0.91
23.21,20.04,0.91
23.17,20.04,0.9
23.11,20.04,0.9
23.09,20.04,0.9
23.03,20.04,0.9
22.99,20.04,0.9
22.87,20.04,0.9
22.93,20.04,0.89
22.87,20.04,0.89
22.77,20.04,0.89
22.65,20.04,0.89
22.65,20.04,0.89
22.57,20.04,0.89
22.51,20.04,0.89
22.53,20.04,0.89
22.51,20.04,0.89
22.53,20.04,0.88
22.59,20.04,0.88
22.51,20.04,0.88
22.59,20.04,0.88
22.53,20.04,0.88
22.53,20.04,0.8
22.47,20.04,0.76
22.43,20.04,0.76
22.51,20.04,0.76
22.77,20.04,-0.18
22.75,20.04,-0.18
22.77,20.04,-0.18
22.83,20.04,-0.19
23.11,20.04,-0.19
22.93,20.04,-0.19
22.81,20.04,-0.19
22.89,20.04,-0.19
23.05,20.04,-0.19
23.05,20.04,-0.19
22.93,20.04,-0.19
22.83,20.04,-0.19
22.77,20.04,-0.19
22.75,20.04,-0.19
22.63,20.04,-0.19
22.59,20.04,-0.19
22.63,20.04,-0.19
22.57,20.04,-0.19
22.57,20.04,-0.19
22.57,20.04,-0.19
22.57,20.04,-0.19
22.57,20.04,-0.19
22.59,20.04,-0.19
22.59,20.04,-0.19
22.59,20.04,-0.19
22.65,20.04,-0.19
22.57,20.04,-0.19
22.59,20.04,-0.19
22.59,20.04,-0.19
22.63,20.04,-0.19
22.57,20.04,-0.2
22.53,20.04,-0.19
22.53,20.04,-0.27
22.57,20.04,-0.27
22.57,20.04,-0.28
22.59,20.04,-0.29
22.57,20.04,-0.29
22.63,20.04,-0.29
22.57,20.04,-0.29
22.53,20.04,-0.29
22.53,20.04,-0.29
22.59,20.04,-0.29
22.59,20.04,-0.29
22.53,20.04,-0.28
22.53,20.04,-0.27
22.57,20.04,-0.27
22.53,20.04,-0.27
22.53,20.04,-0.25
22.59,20.04,-0.25
22.59,20.04,-0.25
22.63,20.04,-0.24
22.65,20.04,-0.23
22.57,20.04,-0.23
22.63,20.04,-0.22
22.59,20.04,-0.2
22.63,20.04,-0.19
22.63,17.38,-0.19
22.65,20.04,-0.19
22.63,20.04,-0.19
22.59,20.04,-0.19
22.59,20.04,-0.19
22.57,20.04,-0.19
22.59,20.04,-0.19
22.65,20.04,-0.19
22.65,20.04,-0.19
22.65,20.04,-0.2
22.65,20.04,-0.2
22.75,20.04,-0.2
22.63,20.04,-0.21
22.65,20.04,-0.21
22.71,20.04,-1.1
22.65,20.04,-1.1
22.59,20.04,-0.31
22.59,20.04,-0.31
22.63,20.04,-0.31
22.59,20.04,-0.31
22.59,20.04,-0.31
22.57,20.04,-0.31
22.59,20.04,-0.31
22.59,20.04,-0.31
22.59,20.04,-0.31
22.63,20.04,-0.31
22.63,20.04,-0.31
22.63,20.04,-0.31
22.57,20.04,-0.31
22.59,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.63,20.04,-0.31
22.59,20.04,-0.31
22.59,20.04,-0.31
22.59,20.04,-0.31
22.63,20.04,-0.31
22.63,20.04,-0.31
22.59,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.63,20.04,-0.31
22.59,20.04,-0.31
22.63,20.04,-0.31
22.65,20.04,-0.31
22.65,20.04,-0.31
22.63,20.04,-0.31
22.65,20.04,-0.31
22.59,20.04,-0.31
22.63,20.04,-0.31
22.65,20.04,-0.31
22.69,20.04,-0.31
22.81,20.04,-0.31
22.81,20.04,-0.31
22.77,20.04,-0.31
22.69,20.04,-0.31
22.69,20.04,-0.31
22.75,20.04,-0.31
22.69,20.04,-0.3
22.65,20.04,-0.31
