Vibration,Temperature,Force
2323.0,20.04,-0.0
23.21,20.04,-0.0
23.21,20.04,-0.0
23.21,20.04,-0.0
23.17,20.04,-0.0
23.17,20.04,-0.0
23.17,20.04,-0.0
23.15,20.04,-0.0
23.23,20.04,-0.0
23.21,20.04,-0.0
23.17,20.04,-0.0
23.23,20.04,-0.0
23.27,20.04,-0.0
23.21,20.04,-0.0
23.27,20.04,-0.0
23.21,20.04,-0.0
23.27,20.04,-0.0
23.27,20.04,-0.0
23.27,20.04,-0.0
23.23,20.04,-0.0
23.23,20.04,-0.0
23.27,20.04,-0.0
23.29,20.04,-0.0
23.33,20.04,-0.0
23.33,20.04,-0.0
23.33,20.04,-0.0
23.39,20.04,-0.0
23.41,20.04,-0.0
23.39,20.04,-0.0
23.45,20.04,-0.0
23.41,20.04,-0.0
23.47,20.04,-0.0
23.45,20.04,-0.0
23.47,20.04,-0.01
23.41,20.04,-0.01
23.41,20.04,-0.0
23.45,20.04,-0.0
23.45,20.04,-0.0
23.39,20.04,-0.01
23.45,20.04,-0.01
23.41,20.04,-0.01
23.39,20.04,-0.01
23.41,20.04,-0.01
23.35,20.04,-0.01
23.33,20.04,-0.01
23.35,20.04,-0.01
23.33,20.04,-0.01
23.33,20.04,-0.01
23.33,20.04,-0.01
23.27,20.04,-0.01
23.33,20.04,-0.01
23.39,20.04,-0.01
23.35,20.04,-0.01
23.35,20.04,-0.01
23.35,20.04,-0.01
23.29,20.04,-0.01
23.29,20.04,-0.01
23.29,20.04,-0.01
23.27,20.04,-0.01
23.29,20.04,-0.01
23.27,20.04,-0.01
23.27,20.04,-0.01
23.29,20.04,-0.02
23.33,20.04,-0.02
23.39,20.04,-0.02
23.33,20.04,-0.02
23.35,20.04,-0.02
23.33,20.04,-0.02
23.27,20.04,-0.02
23.27,20.04,-0.02
23.29,20.04,-0.02
23.29,20.04,-0.02
23.23,20.04,-0.02
23.39,20.04,-0.02
23.35,20.04,-0.03
23.29,20.04,-0.03
23.29,20.04,-0.03
23.33,20.04,-0.03
23.35,20.04,-0.03
23.33,20.04,-0.03
23.33,20.04,-0.04
23.33,20.04,-0.03
23.33,20.04,-0.03
23.29,20.04,-0.04
23.33,20.04,-0.03
23.33,20.04,-0.03
23.33,20.04,-0.03
23.33,20.04,-0.03
23.39,20.04,-0.03
23.29,20.04,-0.03
23.41,20.04,-0.03
23.33,20.04,-0.03
23.35,20.04,-0.04
23.33,20.04,-0.03
23.27,20.04,-0.03
23.27,20.04,-0.04
23.27,20.04,-0.03
23.35,20.04,-0.03
23.29,20.04,-0.03
23.27,20.04,-0.03
23.29,20.04,0.09
23.39,20.04,0.08
23.39,20.04,0.08
23.33,20.04,0.08
23.39,20.04,0.09
23.35,20.04,0.09
23.35,20.04,0.09
23.39,20.04,0.1
23.29,20.04,0.1
23.35,20.04,0.1
23.33,20.04,0.1
23.29,20.04,0.1
23.35,20.04,0.09
23.39,20.04,0.09
23.39,20.04,0.09
23.33,20.04,0.1
23.35,20.04,0.11
23.41,20.04,0.11
23.39,20.04,-0.04
23.45,20.04,-0.04
23.41,20.04,-0.04
23.45,20.04,-0.04
23.41,20.04,-0.04
23.41,20.04,-0.04
23.47,20.04,-0.04
23.47,20.04,-0.04
23.41,20.04,-0.04
23.65,20.04,-0.04
23.69,20.04,-0.04
23.69,20.04,-0.04
23.79,20.04,-0.04
23.69,20.04,-0.03
23.71,20.04,0.01
23.69,20.04,0.04
23.71,20.04,0.07
23.65,20.04,0.1
23.69,20.04,0.13
23.69,20.04,0.25
23.65,20.04,0.28
23.69,20.04,0.07
23.69,20.04,-0.03
23.69,20.04,-0.04
23.71,20.04,-0.04
23.71,20.04,-0.02
23.71,20.04,0.1
23.71,20.04,0.1
23.75,20.04,-0.03
23.69,20.04,-0.04
23.65,20.04,-0.04
23.69,20.04,-0.04
23.71,20.04,-0.04
23.75,20.04,-0.04
23.81,20.04,-0.04
23.79,20.04,-0.04
23.69,20.04,-0.04
23.71,20.04,-0.04
23.75,20.04,-0.03
23.71,20.04,-0.01
23.87,20.04,0.17
23.91,20.04,0.32
23.91,20.04,0.37
23.97,20.04,0.31
23.91,20.04,0.23
23.91,20.04,0.12
23.75,20.04,0.03
23.79,20.04,0.01
23.75,20.04,0.01
23.65,20.04,0.02
23.51,20.04,0.03
23.57,20.04,0.03
23.51,20.04,0.02
23.51,20.04,0.02
23.47,20.04,0.03
23.47,20.04,0.04
23.47,20.04,0.04
23.45,20.04,0.05
23.47,20.04,0.06
23.39,20.04,0.06
23.47,20.04,0.07
23.41,20.04,0.07
23.41,20.04,0.08
23.47,20.04,0.08
23.47,20.04,0.08
23.47,20.04,0.07
23.41,20.04,0.07
23.47,20.04,0.07
23.45,20.04,0.07
23.45,20.04,0.07
23.51,20.04,0.07
23.47,20.04,0.06
23.47,20.04,0.06
23.45,20.04,0.06
23.45,20.04,0.06
23.45,20.04,0.06
23.47,20.04,0.06
23.45,20.04,0.06
23.41,20.04,0.06
23.45,20.04,0.07
23.45,20.04,0.07
23.39,20.04,0.06
23.35,20.04,0.08
23.35,20.04,0.1
23.41,20.04,0.12
23.41,20.04,0.12
23.45,20.04,0.12
23.45,20.04,0.11
23.41,20.04,0.11
23.41,20.04,0.13
23.47,20.04,0.12
23.41,20.04,0.11
23.45,20.04,0.12
23.47,20.04,0.12
23.45,20.04,0.13
23.45,20.04,0.13
23.51,20.04,0.14
23.45,20.04,0.14
23.51,20.04,0.14
23.47,20.04,0.14
23.41,20.04,0.15
23.47,20.04,0.16
23.51,20.04,0.21
23.41,20.04,0.21
23.39,20.04,0.26
23.41,20.04,0.25
23.41,20.04,0.25
23.35,20.04,0.26
23.35,20.04,0.26
23.35,20.04,0.27
23.33,20.04,0.28
23.29,20.04,0.31
23.29,20.04,0.31
23.29,20.04,0.33
23.39,20.04,0.34
23.39,20.04,0.34
23.33,20.04,0.36
23.27,20.04,0.37
23.35,20.04,0.38
23.35,20.04,0.41
23.27,20.04,0.42
23.27,20.04,0.46
23.29,20.04,0.47
23.39,20.04,0.49
23.39,20.04,0.5
23.35,20.04,0.51
23.35,20.04,0.53
23.29,20.04,0.52
23.35,20.04,0.51
23.39,20.04,0.51
23.29,20.04,0.51
23.29,20.04,0.51
23.33,20.04,0.51
23.33,20.04,0.5
23.29,20.04,0.5
23.33,20.04,0.5
23.33,20.04,0.5
23.33,20.04,0.5
23.29,20.04,0.5
23.29,20.04,0.49
23.29,20.04,0.49
23.35,20.04,0.49
23.33,20.04,0.49
23.27,20.04,0.5
23.35,20.04,0.49
23.29,20.04,0.08
23.21,20.04,0.09
23.23,20.04,0.11
23.23,20.04,0.14
23.23,20.04,0.14
23.17,20.04,0.14
23.23,20.04,0.13
23.21,20.04,0.13
23.23,20.04,0.13
23.23,20.04,0.13
23.23,20.04,0.13
23.27,20.04,0.14
23.23,20.04,0.14
23.23,20.04,0.14
23.23,20.04,0.14
23.27,20.04,0.15
23.23,20.04,0.15
23.29,20.04,0.15
23.23,20.04,0.15
23.27,20.04,0.15
23.29,20.04,0.15
23.35,20.04,0.15
23.29,20.04,0.15
23.39,20.04,0.14
23.39,20.04,0.16
23.35,20.04,0.15
23.27,20.04,0.15
23.39,20.04,0.15
23.41,20.04,0.14
23.41,20.04,0.14
23.41,20.04,0.16
23.51,20.04,0.16
23.53,20.04,0.16
23.59,20.04,0.16
23.59,20.04,0.16
23.63,20.04,0.18
23.65,20.04,0.18
23.57,20.04,0.17
23.57,20.04,0.19
23.47,20.04,0.19
23.45,20.04,0.19
23.39,20.04,0.19
23.47,20.04,0.19
23.39,20.04,0.19
23.47,20.04,0.18
23.41,20.04,0.17
23.45,20.04,0.17
23.41,20.04,0.17
23.47,20.04,0.17
23.47,20.04,0.17
23.45,20.04,0.17
23.47,20.04,0.17
23.47,20.04,0.17
23.51,20.04,0.17
23.57,20.04,0.17
23.53,20.04,0.17
23.57,20.04,0.17
23.57,20.04,0.17
23.57,20.04,0.17
23.59,20.04,0.17
23.65,20.04,0.17
23.71,20.04,0.17
23.75,20.04,0.17
23.75,20.04,0.17
23.75,20.04,0.17
23.75,20.04,0.18
23.69,20.04,0.18
23.71,20.04,0.17
23.69,20.04,0.17
23.69,20.04,0.17
23.75,20.04,0.17
23.79,20.04,0.19
23.79,20.04,0.21
23.71,20.04,0.22
23.79,20.04,0.24
23.75,20.04,0.25
23.75,20.04,0.26
23.65,20.04,0.25
23.51,20.04,0.25
23.47,20.04,0.27
23.47,20.04,0.28
23.53,20.04,0.29
23.45,20.04,0.35
23.45,20.04,0.37
23.47,20.04,0.38
23.41,20.04,0.38
23.39,20.04,0.38
23.41,20.04,0.38
23.35,20.04,0.38
23.45,20.04,0.39
23.39,20.04,0.39
23.47,20.04,0.4
23.41,20.04,0.41
23.45,20.04,0.42
23.39,20.04,0.42
