Vibration,Temperature,Force
24.33,16.91,0.02
24.15,18.04,0.03
24.23,13.53,0.03
24.33,18.24,0.03
24.27,17.06,0.03
24.35,17.77,0.03
24.35,16.79,0.03
24.39,15.38,0.03
24.47,17.18,0.03
24.41,18.32,0.03
24.45,17.02,0.03
24.51,16.63,0.03
24.53,18.67,0.03
24.47,16.08,0.03
24.47,15.26,0.03
24.47,17.85,0.03
24.53,16.04,0.03
24.53,17.22,0.04
24.53,18.36,0.04
24.51,16.32,0.04
24.41,15.73,0.04
24.35,17.46,0.04
24.39,17.73,0.04
24.29,15.97,0.04
24.41,17.02,0.04
24.35,19.69,0.04
24.39,15.93,0.04
24.47,17.02,0.04
24.35,17.02,0.04
24.53,15.53,0.04
24.59,17.69,0.03
24.59,17.73,0.03
24.57,16.63,0.03
24.59,17.1,0.04
24.59,18.4,0.03
24.59,15.38,0.02
24.59,14.51,0.01
24.51,18.71,0.01
24.47,17.77,0.01
24.41,15.26,0.01
24.45,19.3,0.01
24.35,17.5,0.01
24.33,16.04,0.01
24.27,15.61,0.01
24.27,17.46,0.01
24.23,17.77,0.01
24.27,16.48,-0.26
24.29,17.34,-1.26
24.27,15.93,0.01
24.23,16.24,0.01
24.27,17.06,0.01
24.29,15.18,0.01
24.23,17.02,0.01
24.17,17.18,0.01
24.17,17.73,0.01
24.21,16.12,0.01
24.17,17.73,0.01
24.21,18.32,0.01
24.27,15.53,0.01
24.27,18.32,0.01
24.27,16.63,0.01
24.23,16.67,0.01
24.29,16.36,0.01
24.35,16.0,0.01
24.33,19.46,0.01
24.41,15.53,0.01
24.51,15.22,0.01
24.47,19.14,0.01
24.51,15.61,0.09
24.27,17.97,-0.06
24.27,16.75,0.02
24.23,16.0,0.01
24.23,18.51,0.01
24.29,20.04,0.01
24.23,17.34,0.02
24.23,11.41,0.04
24.17,10.36,0.05
24.11,11.81,0.06
24.17,7.1,0.06
24.11,20.04,0.08
24.03,9.81,0.1
24.03,15.06,0.12
24.09,20.04,0.13
24.11,9.57,0.16
24.11,20.04,0.17
24.11,9.69,0.2
24.15,7.06,0.27
24.21,16.99,0.38
24.39,15.53,0.43
24.41,18.67,0.44
24.47,15.81,0.44
24.41,14.2,0.46
24.41,19.1,0.47
24.47,14.0,0.48
24.41,20.04,0.51
24.33,20.04,0.53
24.39,20.04,0.55
24.35,9.77,0.58
24.35,20.04,0.59
24.33,15.53,0.61
24.27,12.04,0.62
24.35,20.04,0.68
