Temperature,Vibration,Force
23.71,5.61,0.33
23.75,15.26,0.18
23.69,17.38,0.16
23.35,15.69,0.16
23.45,16.59,0.16
23.57,15.77,0.16
23.29,17.77,0.15
23.23,17.69,0.15
23.21,17.69,0.15
23.17,14.63,0.15
23.29,16.2,0.14
23.27,19.22,0.15
23.27,18.71,0.15
23.27,20.04,0.15
23.29,19.97,0.14
23.27,15.53,0.15
23.29,14.71,0.15
23.21,18.12,0.15
23.21,15.1,0.15
23.33,13.49,0.15
23.35,12.71,0.15
23.33,19.3,0.22
23.21,9.61,0.5
23.63,16.91,3.34
23.57,17.73,3.64
23.57,17.65,3.67
23.51,17.69,3.66
23.45,17.65,3.66
23.47,17.65,3.65
23.57,17.77,3.64
23.47,17.65,3.64
23.47,17.69,3.63
23.47,17.61,3.63
23.47,17.65,3.63
23.15,17.93,0.16
23.17,17.53,0.16
23.33,20.04,0.16
23.39,18.87,0.16
23.51,15.73,0.16
23.53,16.32,0.16
23.47,15.93,0.16
23.51,20.04,0.16
23.33,19.53,0.16
23.33,17.93,0.16
23.39,17.38,0.16
23.35,19.57,0.16
23.27,19.18,0.16
23.29,16.75,0.16
23.35,17.93,0.16
23.33,16.16,0.16
23.35,16.32,0.16
23.35,18.08,0.16
23.33,20.04,0.16
23.33,15.61,0.16
23.29,17.3,0.16
23.33,18.04,0.16
23.33,20.04,0.16
23.27,17.89,0.16
23.33,20.04,0.22
23.35,20.04,0.31
23.27,20.04,0.35
23.39,6.55,0.13
23.71,12.71,0.08
23.69,16.55,0.08
23.65,17.65,0.07
23.59,20.04,0.14
23.57,17.06,0.14
23.57,18.71,0.14
23.57,19.3,0.14
23.57,17.18,0.15
23.57,17.93,0.15
23.41,18.83,0.15
23.41,16.48,0.15
23.65,16.95,0.15
23.53,17.69,0.15
23.63,16.83,0.15
23.57,15.02,0.15
23.47,14.83,0.15
23.27,18.16,0.15
23.27,17.02,0.15
23.41,15.38,0.15
23.51,15.1,0.15
23.27,16.44,0.15
23.35,18.04,0.15
23.33,17.69,0.15
23.29,15.77,0.15
23.41,17.06,0.15
23.59,18.79,0.15
23.57,19.26,0.15
23.51,15.65,0.15
23.39,18.67,0.15
23.47,14.63,0.15
23.53,17.69,0.15
23.47,15.26,0.15
23.57,15.42,0.15
23.51,19.93,0.15
23.47,17.38,0.15
23.51,16.2,0.15
23.57,20.04,0.15
23.69,18.2,0.15
