Temperature,Vibration,Force
23.75,17.02,0.01
23.85,16.99,0.01
23.99,16.99,0.01
23.81,17.1,0.01
23.71,17.22,0.01
23.71,16.95,0.01
23.79,16.91,0.01
23.75,16.91,0.01
23.75,17.06,0.01
23.97,14.75,0.01
23.97,17.02,0.0
23.99,14.24,0.0
23.99,18.4,0.0
24.21,17.02,0.0
24.35,19.34,0.01
24.35,16.08,0.01
24.33,15.26,0.01
24.23,17.97,0.01
24.23,16.36,0.01
24.21,19.18,0.0
24.15,16.75,0.01
24.15,16.2,0.01
24.11,20.04,0.01
24.09,16.48,0.01
24.09,17.18,0.01
23.99,15.85,0.0
24.03,16.24,0.0
23.99,16.44,0.01
23.99,17.1,0.0
23.99,16.55,0.01
24.09,15.53,0.0
24.11,17.46,0.01
24.21,17.46,0.01
24.21,17.06,0.01
24.15,20.04,0.04
24.15,18.01,0.06
24.17,18.75,0.08
24.17,20.04,0.14
24.11,13.89,0.2
24.17,13.18,0.25
24.17,13.96,0.25
24.11,14.55,0.23
24.17,20.04,0.19
24.11,8.87,0.19
24.15,13.06,0.19
24.17,16.71,0.18
24.39,20.04,0.19
24.41,20.04,0.2
24.41,20.04,0.21
24.35,16.75,0.19
24.33,20.04,0.19
24.39,16.95,0.18
24.35,15.42,0.18
24.35,17.3,0.17
24.45,11.26,0.17
24.41,10.36,0.16
24.41,18.55,0.16
24.45,20.04,0.16
24.45,15.34,0.16
24.33,16.71,0.16
24.33,20.04,0.16
24.35,11.57,0.16
24.27,20.04,0.15
24.33,20.04,0.15
24.27,20.04,0.16
24.23,20.04,0.16
24.23,14.91,0.16
24.23,20.04,0.15
24.17,10.75,0.15
24.23,15.34,0.15
25.11,19.57,0.1
25.69,19.02,0.06
26.29,13.65,0.02
27.23,14.83,-0.17
27.59,20.04,-0.18
27.73,20.04,-0.19
27.95,17.42,-0.2
27.95,14.71,-0.2
28.43,9.57,-0.21
28.63,11.73,-0.21
28.75,16.63,-0.22
28.95,16.04,-0.22
29.15,16.12,-0.22
29.29,12.91,-0.22
29.39,10.94,-0.22
29.59,20.04,-0.23
29.75,20.04,-0.24
30.17,20.04,-0.24
30.71,20.04,-0.26
31.11,9.73,-0.23
32.31,-0.08,-0.11
32.47,20.04,-0.07
32.49,20.04,-0.07
32.63,13.38,-0.04
32.71,0.35,-0.03
33.05,9.22,-0.02
32.77,-20.08,-0.01
33.19,15.1,-0.02
33.25,16.99,-0.02
33.25,13.69,-0.03
