Temperature,Vibration,Force
28.17,20.04,0.48
28.23,11.89,0.47
28.23,13.93,0.46
28.23,16.36,0.45
28.23,13.42,0.45
28.19,11.61,0.45
28.33,15.97,0.45
28.33,16.28,0.43
28.33,17.69,0.43
28.27,16.4,0.41
28.25,7.45,0.43
28.07,3.33,0.39
28.27,15.38,0.39
28.31,20.04,0.37
29.25,20.04,0.35
30.03,18.44,0.35
31.05,20.04,0.32
32.45,-3.18,0.25
33.39,20.04,0.03
33.47,18.28,0.31
38.41,14.24,0.24
38.05,13.73,0.04
24.09,20.04,-0.03
24.05,16.91,-0.02
24.11,16.91,-0.04
24.09,20.04,-0.03
24.05,17.57,-0.03
24.11,17.57,-0.02
24.17,18.48,-0.06
24.21,16.67,-0.07
24.23,15.46,-0.05
24.33,18.01,-0.02
24.27,16.55,-0.02
24.47,17.69,-0.04
24.51,17.26,-0.02
24.41,15.73,-0.02
24.29,17.06,-0.02
24.29,16.08,-0.02
24.17,16.63,-0.02
24.27,20.04,-0.02
24.15,18.51,-0.01
24.17,16.83,-0.01
24.27,18.32,-0.02
24.23,17.53,-0.01
24.27,17.02,-0.02
24.21,17.93,-0.02
24.23,18.99,-0.01
24.27,18.36,0.0
24.23,19.53,-0.0
24.21,18.48,0.01
24.17,15.26,-0.01
24.05,16.79,0.01
24.11,16.2,0.03
24.15,14.12,0.01
24.11,15.1,0.01
23.99,18.32,0.03
24.15,19.06,0.06
24.21,20.04,0.07
24.27,16.04,0.11
24.33,13.65,0.16
24.35,20.04,0.24
24.33,8.47,0.24
24.35,12.91,0.29
24.33,14.08,0.33
24.35,13.14,0.38
24.33,16.87,0.51
24.21,15.85,0.52
24.17,19.14,0.56
24.17,17.18,0.56
24.33,11.34,0.6
24.39,10.75,0.65
24.57,9.92,1.17
24.45,16.59,1.19
24.53,17.5,1.24
24.53,16.44,1.3
24.57,17.89,1.37
24.57,16.59,1.42
24.47,16.99,1.51
24.47,17.77,1.59
24.53,16.67,1.64
24.53,17.46,1.73
24.63,16.75,1.7
24.65,16.91,1.77
24.71,16.79,1.73
24.71,16.91,1.75
24.77,16.99,1.78
24.69,16.79,1.71
25.87,11.38,-0.03
25.87,20.04,-0.02
25.85,6.71,-0.0
25.87,20.04,0.01
25.87,20.04,-0.02
26.03,16.48,-0.01
26.09,13.45,-0.05
25.99,16.04,-0.01
26.15,20.04,-0.02
26.29,14.2,-0.03
26.41,20.04,-0.02
26.43,12.94,-0.01
26.41,20.04,-0.0
