Vibration,Temperature,Force
23.11,16.75,1.0
23.17,16.91,1.0
23.17,17.14,1.0
23.11,16.71,1.0
23.15,16.95,1.0
23.21,16.99,1.0
23.11,17.34,1.0
23.11,17.22,1.0
23.15,16.95,1.0
23.15,16.99,1.0
23.17,16.87,1.0
23.17,16.95,1.0
23.33,16.91,1.0
23.35,16.87,1.0
23.35,17.02,1.0
23.33,16.95,1.0
23.15,16.83,1.0
23.23,16.95,1.0
23.23,17.22,1.0
23.21,16.99,1.0
23.27,16.83,1.0
23.29,16.71,1.0
23.27,17.14,1.0
23.27,16.91,1.0
23.27,17.14,1.0
23.21,16.79,1.0
23.27,16.91,1.0
23.23,17.14,1.0
23.23,17.14,1.0
23.29,17.14,1.0
23.17,16.63,1.0
23.17,17.34,1.0
23.23,17.38,1.0
23.27,16.83,1.0
23.29,16.95,1.0
23.15,17.1,1.0
23.21,16.63,1.0
23.27,20.04,0.04
23.23,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.23,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.27,20.04,0.04
23.29,20.04,0.04
23.21,20.04,0.04
23.17,20.04,0.04
23.15,20.04,0.04
23.27,20.04,0.04
23.23,20.04,0.04
23.09,20.04,0.04
23.15,20.04,0.04
23.15,20.04,0.04
23.17,20.04,0.04
23.11,20.04,0.04
23.11,20.04,0.04
23.09,20.04,0.04
23.05,20.04,0.04
23.15,20.04,0.04
23.11,20.04,0.04
23.03,20.04,0.04
23.05,20.04,0.05
23.09,20.04,0.06
23.11,20.04,0.06
23.09,20.04,0.08
23.05,20.04,0.1
23.05,20.04,0.11
23.11,20.04,0.12
23.09,20.04,0.17
23.17,20.04,0.22
23.21,20.04,0.23
23.11,18.91,0.25
23.21,20.04,0.28
23.23,20.04,0.28
23.23,20.04,0.29
23.27,20.04,0.3
23.21,20.04,0.31
23.23,20.04,0.32
23.23,20.04,0.33
23.23,20.04,0.34
23.21,20.04,0.38
23.27,20.04,0.38
23.27,20.04,0.47
23.23,20.04,0.48
23.27,20.04,0.49
23.23,20.04,0.51
23.23,20.04,0.51
23.23,20.04,0.91
23.29,20.04,0.93
23.23,20.04,0.96
23.27,20.04,1.01
23.29,20.04,1.04
23.23,20.04,1.06
23.27,20.04,1.1
23.23,20.04,1.12
23.23,20.04,1.13
23.23,20.04,1.17
23.17,20.04,1.19
23.21,20.04,1.22
23.27,20.04,1.22
23.17,20.04,1.21
23.23,20.04,1.21
23.21,20.04,1.2
23.23,20.04,1.2
23.23,20.04,1.2
23.21,20.04,1.2
23.23,20.04,1.19
23.29,20.04,1.19
23.21,20.04,1.19
23.21,20.04,1.19
23.23,20.04,1.19
23.21,20.04,1.19
23.23,20.04,1.18
23.29,20.04,1.18
23.23,20.04,1.18
23.23,20.04,1.18
23.27,20.04,1.18
23.29,20.04,1.18
23.27,20.04,1.18
23.35,20.04,1.17
23.35,20.04,1.17
23.33,20.04,1.17
23.33,20.04,1.17
23.33,20.04,1.17
23.29,20.04,1.17
23.35,20.04,1.17
32.0,0.0,0.6
23.23,20.04,0.1
23.17,20.04,0.1
23.17,20.04,0.1
23.17,20.04,0.1
23.11,20.04,0.1
23.21,20.04,0.1
23.21,20.04,0.1
23.23,20.04,0.1
23.17,20.04,0.1
23.17,20.04,0.1
23.17,20.04,0.1
23.21,20.04,0.1
23.11,20.04,-0.07
23.17,20.04,-0.02
23.11,20.04,0.06
23.21,20.04,0.3
23.23,20.04,0.31
23.23,20.04,0.32
23.29,20.04,0.34
23.27,20.04,0.35
23.27,20.04,0.35
23.27,20.04,0.4
23.23,20.04,0.42
23.27,20.04,0.48
23.23,20.04,0.51
23.27,20.04,0.53
23.27,20.04,0.59
23.27,20.04,0.62
23.27,20.04,0.63
23.23,20.04,0.64
23.27,20.04,0.63
23.27,20.04,0.62
23.23,20.04,0.61
23.23,20.04,0.61
23.23,20.04,0.51
23.21,20.04,0.49
23.21,20.04,0.49
23.27,20.04,0.47
23.21,20.04,0.48
23.21,20.04,0.49
23.23,20.04,0.47
23.23,20.04,0.46
23.21,20.04,0.45
23.23,20.04,0.45
23.27,20.04,0.45
23.23,20.04,0.46
23.17,20.04,0.48
23.23,20.04,0.51
23.23,20.04,0.52
23.17,20.04,0.47
23.21,20.04,0.44
23.23,20.04,0.43
23.17,20.04,0.42
23.23,20.04,0.43
23.23,20.04,0.46
23.27,20.04,0.47
23.27,20.04,0.47
23.27,20.04,0.51
23.23,20.04,0.54
23.29,20.04,0.55
23.27,20.04,0.54
23.27,20.04,0.53
23.21,20.04,0.53
23.27,20.04,0.53
23.23,20.04,0.54
23.27,20.04,0.48
23.23,20.04,0.45
23.27,20.04,0.45
