Temperature,Vibration,Force
22.95,20.04,-0.2
22.93,20.04,-0.21
22.95,20.04,-0.21
23.03,20.04,-0.21
23.03,20.04,-0.23
23.05,20.04,-0.28
23.05,20.04,-0.29
23.05,20.04,-0.28
23.05,20.04,-0.21
23.09,20.04,-0.15
23.05,20.04,-0.06
22.99,20.04,0.02
23.05,20.04,0.1
23.09,20.04,0.22
23.03,20.04,0.31
23.03,20.04,0.4
23.05,20.04,0.48
23.05,20.04,0.5
23.05,20.04,0.49
23.05,20.04,0.48
23.09,20.04,0.48
23.09,20.04,0.47
22.95,20.04,-0.31
22.99,20.04,-0.31
22.99,20.04,-0.31
23.03,20.04,-0.31
22.95,20.04,-0.31
22.93,20.04,-0.3
22.99,20.04,-0.3
22.99,20.04,-0.28
23.03,20.04,-0.29
23.03,20.04,-0.3
22.95,20.04,-0.26
22.95,20.04,-0.23
23.05,20.04,-0.17
22.95,20.04,-0.09
23.03,20.04,0.03
22.99,20.04,0.13
23.03,20.04,0.21
22.95,20.04,0.28
22.99,20.04,0.37
22.95,20.04,0.44
22.99,20.04,0.51
22.93,20.04,0.44
22.99,20.04,0.43
22.95,20.04,-0.31
23.27,20.04,-0.31
23.21,20.04,-0.31
23.23,20.04,-0.3
23.23,20.04,-0.3
23.23,20.04,-0.3
23.27,20.04,-0.3
23.23,20.04,-0.3
23.33,20.04,-0.3
23.29,20.04,-0.31
23.29,20.04,-0.31
23.29,20.04,-0.31
23.33,20.04,-0.31
23.27,20.04,-0.31
23.33,20.04,-0.31
23.47,20.04,-0.31
23.59,20.04,-0.3
23.79,20.04,-0.3
23.33,20.04,-0.3
23.17,20.04,-0.3
23.11,20.04,-0.29
23.17,20.04,-0.3
23.23,20.04,-0.27
23.15,20.04,-0.25
23.23,20.04,-0.21
23.21,20.04,-0.14
23.11,20.04,-0.08
23.09,20.04,0.02
23.21,20.04,0.09
23.21,20.04,0.18
23.21,20.04,0.25
23.23,20.04,0.33
23.23,20.04,0.4
23.23,20.04,0.48
23.17,20.04,0.51
23.11,20.04,0.5
23.15,20.04,0.49
23.35,20.04,0.48
23.33,20.04,0.47
23.09,20.04,-0.3
23.09,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.15,20.04,-0.3
23.23,20.04,-0.31
23.21,20.04,-0.31
23.23,20.04,-0.31
23.11,20.04,-0.31
23.15,20.04,-0.31
23.23,20.04,-0.31
23.23,20.04,-0.31
23.35,20.04,-0.31
23.29,20.04,-0.31
23.33,20.04,-0.31
23.17,20.04,-0.3
